#WEBOTS_MOTION,V1.0,HeadPitch,HeadYaw,LAnkleRoll,RAnkleRoll,LAnklePitch,RAnklePitch,LKneePitch,RKneePitch,LElbowRoll,RElbowRoll,LElbowYaw,RElbowYaw,LWristYaw,RWristYaw,LShoulderRoll,RShoulderRoll,LShoulderPitch,RShoulderPitch,LHipRoll,RHipRoll,LHipPitch,RHipPitch,RHipYawPitch,LHipYawPitch,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8,RPhalanx1,RPhalanx2,RPhalanx3,RPhalanx4,RPhalanx5,RPhalanx6,RPhalanx7,RPhalanx8
00:02:320,Pose59,*,0.32,-0.16,0.16,*,*,1.3728,1.3728,*,*,*,*,*,*,*,*,*,*,0.44,-0.44,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:360,Pose60,*,0.36,-0.14,0.14,*,*,1.287,1.287,*,*,*,*,*,*,*,*,*,*,0.42,-0.42,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:400,Pose61,*,0.4,-0.12,0.12,*,*,1.2012,1.2012,*,*,*,*,*,*,*,*,*,*,0.4,-0.4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:440,Pose62,*,0.44,-0.1,0.1,*,*,1.1154,1.1154,0,0,*,*,*,*,*,*,*,*,0.38,-0.38,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:480,Pose63,*,0.48,-0.08,0.08,*,*,1.0296,1.0296,-0.1,0.1,*,*,*,*,*,*,*,*,0.36,-0.36,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:520,Pose64,*,0.52,-0.06,0.06,*,*,0.9438,0.9438,-0.2,0.2,*,*,*,*,0,0,*,*,0.34,-0.34,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:560,Pose65,*,0.56,-0.04,0.04,*,*,0.858,0.858,-0.3,0.3,*,*,*,*,0.05,-0.05,*,*,0.32,-0.32,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:600,Pose66,*,0.6,-0.02,0.02,*,*,0.7722,0.7722,-0.4,0.4,*,*,*,*,0.1,-0.1,*,*,0.3,-0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:640,Pose67,*,0.64,0,0,*,*,0.6864,0.6864,-0.5,0.5,0,0,*,*,0.15,-0.15,*,*,0.28,-0.28,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:680,Pose68,*,0.68,-0.02,0.02,*,*,0.6006,0.6006,-0.6,0.6,-0.1,0.1,*,*,0.2,-0.2,*,*,0.26,-0.26,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:720,Pose69,*,0.72,-0.04,0.04,*,*,0.5148,0.5148,-0.6,0.6,-0.2,0.2,*,*,0.25,-0.25,*,*,0.24,-0.24,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:760,Pose70,*,0.76,-0.06,0.06,*,*,0.429,0.429,-0.6,0.6,-0.3,0.3,*,*,0.3,-0.3,*,*,0.22,-0.22,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:800,Pose71,*,0.8,-0.08,0.08,*,*,0.3432,0.3432,-0.6,0.6,-0.4,0.4,*,*,0.35,-0.35,*,*,0.2,-0.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:840,Pose72,*,0.84,*,*,*,*,0.2574,0.2574,-0.7,0.7,-0.5,0.5,*,*,0.4,-0.4,*,*,0.18,-0.18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:880,Pose73,*,0.88,*,*,*,*,0.1716,0.1716,-0.7,0.7,-0.6,0.6,*,*,0.45,-0.45,*,*,0.16,-0.16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:920,Pose74,*,0.92,*,*,*,*,0.0858,0.0858,-0.6,0.6,-0.7,0.7,*,*,0.5,-0.5,*,*,0.14,-0.14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:960,Pose75,*,0.96,*,*,*,*,0,0,-0.5,0.5,-0.8,0.8,*,*,0.5,-0.5,*,*,0.12,-0.12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:000,Pose76,*,1,*,*,*,*,*,*,-0.4,0.4,-0.9,0.9,0,0,0.5,-0.5,*,*,0.1,-0.1,-1.7424,-1.7424,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:040,Pose77,*,0.96,*,*,*,*,*,*,-0.3,0.3,-1,1,0.1,-0.1,0.5,-0.5,*,*,0.08,-0.08,-1.5972,-1.5972,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:03:080,Pose78,*,0.92,*,*,*,*,*,*,-0.4,0.4,-1.1,1.1,0.2,-0.2,0.5,-0.5,2.0592,2.0592,0.06,-0.06,-1.452,-1.452,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
